2026/05/15 20:19精选更新,#genre#
风云剧场,http://180.165.22.10:9999/rtp/233.18.204.183:5140
央视精品,http://180.165.22.10:9999/rtp/233.18.204.186:5140
兵器科技,http://180.165.22.10:9999/rtp/233.18.204.178:5140
风云足球,http://180.165.22.10:9999/rtp/233.18.204.176:5140
高网频道,http://180.165.22.10:9999/rtp/233.18.204.181:5140
怀旧剧场,http://180.165.22.10:9999/rtp/233.18.204.182:5140
女性时尚,http://180.165.22.10:9999/rtp/233.18.204.180:5140
央视台球,http://180.165.22.10:9999/rtp/233.18.204.177:5140
CGTN,http://180.165.22.10:9999/rtp/239.45.1.194:5140
CGTN,http://180.165.22.10:9999/rtp/233.18.204.28:5140
CETV1,http://180.165.22.10:9999/rtp/239.45.1.125:5140
CETV1,http://180.165.22.10:9999/rtp/233.18.204.98:5140
CETV2,http://180.165.22.10:9999/rtp/239.45.1.52:5140
CETV2,http://180.165.22.10:9999/rtp/233.18.204.154:5140
CETV4,http://180.165.22.10:9999/rtp/239.45.1.50:5140
CETV4,http://180.165.22.10:9999/rtp/233.18.204.111:5140
湖南卫视,http://180.165.22.10:9999/rtp/239.45.3.228:5140
湖南卫视,http://180.165.22.10:9999/rtp/233.18.204.86:5140
浙江卫视,http://180.165.22.10:9999/rtp/239.45.3.178:5140
浙江卫视,http://180.165.22.10:9999/rtp/233.18.204.84:5140
江苏卫视,http://180.165.22.10:9999/rtp/239.45.3.177:5140
江苏卫视,http://180.165.22.10:9999/rtp/233.18.204.85:5140
北京卫视,http://180.165.22.10:9999/rtp/239.45.3.229:5140
北京卫视,http://180.165.22.10:9999/rtp/233.18.204.87:5140
东方卫视,http://180.165.22.10:9999/rtp/239.45.3.146:5140
东方卫视,http://180.165.22.10:9999/rtp/233.18.204.51:5140
东方卫视,http://180.165.22.10:9999/rtp/239.45.3.61:5140
安徽卫视,http://180.165.22.10:9999/rtp/239.45.1.120:5140
安徽卫视,http://180.165.22.10:9999/rtp/233.18.204.93:5140
广东卫视,http://180.165.22.10:9999/rtp/239.45.3.230:5140
广东卫视,http://180.165.22.10:9999/rtp/233.18.204.88:5140
深圳卫视,http://180.165.22.10:9999/rtp/239.45.3.231:5140
深圳卫视,http://180.165.22.10:9999/rtp/233.18.204.89:5140
辽宁卫视,http://180.165.22.10:9999/rtp/239.45.1.123:5140
辽宁卫视,http://180.165.22.10:9999/rtp/233.18.204.96:5140
山东卫视,http://180.165.22.10:9999/rtp/239.45.3.238:5140
山东卫视,http://180.165.22.10:9999/rtp/233.18.204.91:5140
天津卫视,http://180.165.22.10:9999/rtp/239.45.1.124:5140
天津卫视,http://180.165.22.10:9999/rtp/233.18.204.97:5140
重庆卫视,http://180.165.22.10:9999/rtp/239.45.1.84:5140
重庆卫视,http://180.165.22.10:9999/rtp/233.18.204.100:5140
东南卫视,http://180.165.22.10:9999/rtp/239.45.1.121:5140
东南卫视,http://180.165.22.10:9999/rtp/233.18.204.94:5140
河北卫视,http://180.165.22.10:9999/rtp/239.45.1.44:5140
河北卫视,http://180.165.22.10:9999/rtp/233.18.204.103:5140
