央视,#genre#
CCTV16,http://cx.shscxzx.cn:8899/rtp/233.18.204.114:5140,无效
CCTV16,http://wsc2007123.myds.me:30100/rtp/233.18.204.114:5140,无效
CCTV16,http://home888.uttcare.com:8889/rtp/233.18.204.114:5140,无效
CCTV16,http://shenhua.asuscomm.com:8888/rtp/233.18.204.114:5140,无效
CCTV16,http://yyf1991.top:9999/rtp/233.18.204.215:5140,无效
CCTV16,http://cx.shscxzx.cn:8899/rtp/233.18.204.215:5140,无效
CCTV16,http://wsc2007123.myds.me:30100/rtp/233.18.204.215:5140,无效
CCTV16,http://home888.uttcare.com:8889/rtp/233.18.204.215:5140,无效
CCTV16,http://shenhua.asuscomm.com:8888/rtp/233.18.204.215:5140,无效
CCTV16,http://yyf1991.top:9999/rtp/233.18.204.82:5140,有效
CCTV16,http://cx.shscxzx.cn:8899/rtp/233.18.204.82:5140,有效
CCTV16,http://wsc2007123.myds.me:30100/rtp/233.18.204.82:5140,有效
CCTV16,http://home888.uttcare.com:8889/rtp/233.18.204.82:5140,有效
CCTV16,http://shenhua.asuscomm.com:8888/rtp/233.18.204.82:5140,有效
CCTV17,http://yyf1991.top:9999/rtp/233.18.204.35:5140,有效
CCTV17,http://cx.shscxzx.cn:8899/rtp/233.18.204.35:5140,有效
CCTV17,http://wsc2007123.myds.me:30100/rtp/233.18.204.35:5140,有效
CCTV17,http://home888.uttcare.com:8889/rtp/233.18.204.35:5140,有效
CCTV17,http://shenhua.asuscomm.com:8888/rtp/233.18.204.35:5140,有效
CCTV17,http://yyf1991.top:9999/rtp/233.18.204.83:5140,有效
CCTV17,http://cx.shscxzx.cn:8899/rtp/233.18.204.83:5140,有效
CCTV17,http://wsc2007123.myds.me:30100/rtp/233.18.204.83:5140,有效
CCTV17,http://home888.uttcare.com:8889/rtp/233.18.204.83:5140,有效
CCTV17,http://shenhua.asuscomm.com:8888/rtp/233.18.204.83:5140,有效
CCTV17,http://yyf1991.top:9999/rtp/239.45.3.52:5140,无效
CCTV17,http://cx.shscxzx.cn:8899/rtp/239.45.3.52:5140,无效
CCTV17,http://wsc2007123.myds.me:30100/rtp/239.45.3.52:5140,无效
CCTV17,http://home888.uttcare.com:8889/rtp/239.45.3.52:5140,无效
CCTV17,http://shenhua.asuscomm.com:8888/rtp/239.45.3.52:5140,无效
卫视,#genre#
北京卫视,http://yyf1991.top:9999/rtp/233.18.204.118:5140,有效
北京卫视,http://cx.shscxzx.cn:8899/rtp/233.18.204.118:5140,有效
北京卫视,http://wsc2007123.myds.me:30100/rtp/233.18.204.118:5140,有效
北京卫视,http://home888.uttcare.com:8889/rtp/233.18.204.118:5140,有效
北京卫视,http://shenhua.asuscomm.com:8888/rtp/233.18.204.118:5140,有效
北京卫视,http://yyf1991.top:9999/rtp/233.18.204.209:5140,有效
北京卫视,http://cx.shscxzx.cn:8899/rtp/233.18.204.209:5140,有效
北京卫视,http://wsc2007123.myds.me:30100/rtp/233.18.204.209:5140,有效
北京卫视,http://home888.uttcare.com:8889/rtp/233.18.204.209:5140,有效
北京卫视,http://shenhua.asuscomm.com:8888/rtp/233.18.204.209:5140,有效
北京卫视,http://yyf1991.top:9999/rtp/233.18.204.210:5140,有效
